Date,Open,High,Low,Close,Adj Close,Volume
3/11/15,46.900002,47.889999,46.580002,47.389999,45.596386,6630300
3/12/15,47.57,48.720001,47.560001,48.68,46.837566,7133500
3/13/15,48.75,49.490002,48.279999,49.220001,47.357128,9188000
3/16/15,49.77,50.450001,49.450001,50.220001,48.319283,10897800
3/17/15,52.630001,54.18,52.5,53.689999,51.657951,41453200
3/18/15,53.689999,54.599998,53.34,54.130001,52.081291,21297000
3/19/15,54.57,55.240002,54.450001,55.189999,53.101173,18897700
3/20/15,55.189999,56.049999,54.860001,55.759998,53.649597,137767200
3/23/15,55.470001,55.93,54.369999,54.400002,52.341068,18719300
3/24/15,54.040001,54.41,53.66,53.93,51.88887,11940800
3/25/15,53.619999,53.779999,51.93,52.009998,50.041527,14237900
3/26/15,50.84,51.689999,50.25,51.27,49.32954,14242700
3/27/15,51.380001,52.849998,51.380001,52.66,50.666935,8980800
3/30/15,53.240002,53.84,53.049999,53.639999,51.609833,8167300
3/31/15,53.66,53.73,52.68,52.779999,50.782387,8386400
4/1/15,51.099998,51.380001,50.110001,50.439999,48.530952,15154800
4/2/15,50.48,50.849998,49.150002,49.18,47.318634,14109800
4/6/15,48.349998,48.689999,47.669998,48.080002,46.260273,13323400
4/7/15,48.299999,48.799999,47.490002,47.5,45.702221,9393200
4/8/15,47.799999,49.09,47.73,48.740002,46.895298,11180000
4/9/15,48.860001,49.48,47.720001,47.84,46.02935,11576200
4/10/15,48.16,48.790001,47.720001,47.73,45.923523,11713400
4/13/15,47.470001,48.59,47.470001,47.790001,45.981251,9350300
4/14/15,47.490002,47.779999,46.880001,47.419998,45.625248,9867600
4/15/15,48,48.720001,47.669998,47.75,45.94276,9846700
4/16/15,47.810001,48.91,47.75,48.240002,46.414227,7155900
4/17/15,47.959999,48.650002,47.950001,48.189999,46.366112,8659800
4/20/15,48.610001,49.779999,47.91,49.759998,47.876678,9520500
4/21/15,50,51.419998,49.459999,51.360001,49.416138,10850300
4/22/15,51.400002,51.540001,50.400002,51.400002,49.454624,7333300
4/23/15,51.07,51.720001,50.700001,51.450001,49.502728,9821800
4/24/15,51.98,53.470001,51.490002,52.709999,50.715042,20248100
4/27/15,52.68,52.68,51.700001,51.869999,49.90683,9843400
4/28/15,51.700001,51.82,50.009998,51.189999,49.252575,9235700
4/29/15,50.580002,50.799999,47.66,48.880001,47.029995,18050300
4/30/15,48.5,49.459999,48.009998,48.290001,46.557575,9400400
5/1/15,48.650002,49.830002,48.509998,49.389999,47.618107,8084600
5/4/15,49.41,50.080002,48.799999,48.950001,47.193897,5589800
5/5/15,48.209999,48.709999,46.900002,47.009998,45.32349,11385000
5/6/15,46.779999,47.639999,46.150002,47.049999,45.362057,10116400
5/7/15,47.400002,49.619999,47.400002,49.060001,47.299953,11428000
5/8/15,49.23,49.830002,48.93,49.040001,47.280666,6478200
5/11/15,49,50.299999,48.799999,49.650002,47.868786,8036700
5/12/15,49.110001,49.400002,48.630001,48.849998,47.097473,6820500
5/13/15,49.27,49.849998,48.400002,48.490002,46.750401,8553100
5/14/15,48.939999,49.09,48.5,48.82,47.068558,7980100
5/15/15,49.41,49.450001,48.560001,48.669998,46.923939,6650400
5/18/15,48.560001,49.169998,48.380001,49,47.242107,6150500
5/19/15,49.450001,49.68,47.700001,47.849998,46.133358,14984900
5/20/15,47.560001,47.560001,42.970001,43.060001,41.515202,51460300
5/21/15,43.189999,43.389999,42.400002,42.470001,40.946377,23895800
5/22/15,42.700001,42.93,42.02,42.610001,41.081341,16113100
5/26/15,43.049999,43.09,41.360001,41.560001,40.069019,17481100
5/27/15,41.650002,42.450001,41.599998,42.240002,40.724628,13017800
5/28/15,42.25,42.5,41.77,41.970001,40.464314,9238800
5/29/15,41.68,42.599998,41.32,42.369999,40.849953,13223400
6/1/15,42.610001,44.380001,42.09,44.18,42.595032,21917100
6/2/15,43.299999,44.110001,43.040001,43.779999,42.209373,14814800
6/3/15,43.349998,43.91,43.009998,43.130001,41.582684,13272600
6/4/15,43.049999,43.98,41.880001,42.169998,40.657131,14128000
6/5/15,42.130001,42.580002,41.709999,41.720001,40.223282,9951100
6/8/15,41.07,41.240002,39.27,39.860001,38.430008,25726200
6/9/15,38.799999,40.720001,38.450001,40.330002,38.883137,27024800
6/10/15,40.209999,41.209999,39.700001,40.43,38.979553,15731900
6/11/15,40.790001,41.259998,39.939999,40.02,38.584267,10116700
6/12/15,39.84,41,39.759998,40.709999,39.249508,10333800
6/15/15,40.349998,41,40.009998,40.07,38.632469,8830300
6/16/15,40.130001,40.32,39.32,39.48,38.063633,9212100
6/17/15,39.27,40.09,38.91,39.880001,38.449287,9567400
6/18/15,39.799999,40.220001,39.610001,39.98,38.545704,10647000
6/19/15,40.299999,41.889999,40.299999,41.560001,40.069019,20198300
6/22/15,42.919998,43.25,42.240002,43.029999,41.486275,15120200
6/23/15,42.98,43.419998,42.349998,42.73,41.197041,10702000
6/24/15,42.700001,42.919998,42.07,42.240002,40.724628,6895900
6/25/15,42.650002,43.419998,42.200001,42.240002,40.724628,8174200
6/26/15,42.439999,42.580002,41.330002,41.439999,39.95332,9819900
6/29/15,40.77,41.32,39.59,39.75,38.323944,17651700
6/30/15,40.200001,40.599998,39.93,39.939999,38.50713,11184500
7/1/15,40.650002,40.900002,37.799999,38.799999,37.408035,24907100
7/2/15,39.02,39.810001,38.400002,39.029999,37.629772,11080000
7/6/15,39.09,40,39.080002,39.73,38.304665,9157700
7/7/15,39.93,40.740002,39.259998,40.669998,39.210941,10375900
7/8/15,40.299999,40.310001,39.139999,39.310001,37.899742,11193000
7/9/15,39.84,40.279999,39.66,39.669998,38.246815,8490900
7/10/15,40.509998,41.639999,40.5,41.209999,39.731567,16451700
7/13/15,41.959999,42.720001,41.959999,42.419998,40.898163,12077000
7/14/15,42.040001,42.459999,41.290001,42.060001,40.551083,12701500
7/15/15,41.389999,42.220001,40.389999,41.540001,40.049736,17922800
7/16/15,41.810001,42.220001,41.299999,41.389999,39.905117,12111300
7/17/15,41.450001,41.84,41.240002,41.400002,39.914753,9736000
7/20/15,41.549999,41.709999,40.439999,40.549999,39.095253,7645900
7/21/15,40.5,41.299999,40.490002,40.900002,39.432701,7300000
7/22/15,40.959999,41.610001,40.959999,41.43,39.943684,8302900
7/23/15,42.779999,43.810001,42,42.610001,41.081341,16579900
7/24/15,43,43.110001,39.619999,39.630001,38.20826,20152600
7/27/15,39.630001,40.810001,38.900002,40.139999,38.699963,12071400
7/28/15,40.18,41.380001,40.18,41.169998,39.693001,8186000
7/29/15,41.09,41.330002,40.439999,40.73,39.268795,6801400
7/30/15,40.580002,40.93,39.919998,40.27,38.825291,5855800
